하나, 50, 189
파라, 64, 197
카파, 67, 164
다나, 43, 171
타바, 59, 170
사라, 84, 182
차하, 42, 150
자차, 92, 192
차차, 91, 184
나차, 40, 162
다바, 54, 177
가마, 66, 199
사바, 48, 180
바라, 94, 192
나타, 55, 144
카사, 93, 157
차나, 79, 197
사파, 61, 194
마하, 98, 194
가파, 80, 160
나사, 63, 171
사사, 85, 162
가아, 57, 175
타차, 92, 160
카하, 77, 150
하사, 90, 169
마라, 79, 177
라자, 69, 194
다카, 96, 165
하자, 99, 170
카마, 68, 196
마자, 76, 145
파나, 55, 146
나차, 88, 161
나타, 72, 149
나차, 84, 151
카나, 67, 183
자다, 79, 149
자다, 79, 165
차나, 90, 182
바라, 73, 151
라파, 58, 175
다카, 68, 141
마다, 61, 175
라라, 72, 168
가파, 44, 143
바나, 79, 144
파마, 69, 153
아나, 51, 193
사바, 98, 145
마아, 80, 150
카파, 97, 187
라다, 91, 162
마자, 59, 188
카하, 65, 181
자가, 60, 196
마바, 48, 161
자하, 71, 164
다자, 59, 189
마나, 88, 177
자타, 82, 177
나차, 40, 189
자다, 96, 196
파가, 62, 173
라아, 86, 195
타가, 68, 178
나라, 60, 179
라하, 94, 146
카바, 49, 180
타아, 57, 148
나아, 47, 196
차사, 87, 198
가카, 42, 149
다라, 70, 192
카카, 90, 187
파가, 91, 144
자라, 56, 166
카바, 66, 152
아라, 61, 174
바다, 99, 185
아라, 70, 191
차마, 56, 158
파하, 46, 176
마다, 92, 199
카카, 83, 166
나하, 65, 157
라아, 99, 162
다바, 59, 148
나마, 42, 172
파가, 41, 191
파다, 53, 188
나타, 60, 157
가바, 73, 149
바바, 92, 143
카카, 80, 194
사타, 40, 167
라자, 71, 161
타차, 89, 147
바바, 88, 152
나가, 54, 193
